Frequenz - Plot 0	Amplitude - Plot 0
0	0,0273091
0	0,0012236
0	0,000954071
0	0,000602789
0	-7,81E-05
0	-0,000406767
1	8,76E-05
1	-0,000126413
1	3,51E-06
1	-0,000264143
1	-0,000141024
1	0,000264823
1	0,000139316
1	0,000369831
1	-0,000370848
2	0,000326823
2	0,000252443
2	0,000443297
2	0,000366514
2	0,000337186
2	0,000150178
2	0,000192573
2	0,000117476
2	0,000216905
2	5,96E-06
2	-3,75E-05
3	-0,000459831
3	0,000315882
3	0,000138303
3	0,000222168
3	0,000157141
3	-6,76E-05
3	-5,40E-05
3	-0,000253587
3	-0,00030526
4	-0,000548081
4	-0,000627531
4	-0,000772289
4	-0,000504788
4	-0,000854208
4	-0,000779056
4	-0,000872728
4	-0,000976122
4	-0,000955329
4	-0,000882985
4	-0,000981795
5	-0,00100776
5	-0,000980041
5	-0,00114843
5	-0,000971978
5	-0,000742062
5	-0,000663175
5	-0,000464742
5	-0,000305534
5	-0,000115403
6	5,12E-05
6	0,000373759
6	0,00041953
6	0,000608369
6	0,000443703
6	0,000441444
6	0,000241622
6	0,000273995
6	-3,62E-05
6	-0,000120896
6	-0,000216158
7	-0,000300963
7	-0,000240738
7	-1,90E-05
7	0,000278796
7	0,000310589
7	0,000428373
7	0,000166234
7	-0,000208197
7	-0,000129523
8	-0,000585828
8	-0,000570944
8	-0,000552173
8	-0,000709175
8	-0,000969079
8	-0,00100747
8	-0,00109622
8	-0,00111193
8	-0,00127693
8	-0,00131039
8	-0,00109153
9	-0,000992056
9	-0,00095985
9	-0,000690632
9	-0,000498421
9	-4,68E-05
9	0,00066044
9	0,00124884
9	0,00208753
9	0,00192064
10	0,0025509
10	0,00394496
10	0,00471673
10	0,0059635
10	0,00717173
10	0,00821154
10	0,00926802
10	0,0104384
10	0,0106172
10	0,00866304
10	0,00216493
11	-0,00366523
11	0,000366501
11	0,00083134
11	0,000704719
11	0,000800163
11	0,000948831
11	0,00122611
11	0,00184535
11	0,00282839
12	0,00386822
12	0,00478941
12	0,00566935
12	0,00639598
12	0,00690693
12	0,00707146
12	0,00685363
12	0,00658958
12	0,00610074
12	0,00562575
12	0,00502601
13	0,00467152
13	0,00445938
13	0,004265
13	0,00430139
13	0,00439054
13	0,00451354
13	0,00452398
13	0,00446812
13	0,00430875
14	0,00391834
14	0,00365311
14	0,00334007
14	0,00302478
14	0,00290271
14	0,00279636
14	0,00279313
14	0,00289399
14	0,00297991
14	0,00304163
14	0,00294768
15	0,00274339
15	0,00265853
15	0,00246182
15	0,00240114
15	0,00242696
15	0,00249093
15	0,00245176
15	0,00253862
15	0,00249615
16	0,00235266
16	0,00216157
16	0,00195075
16	0,00174538
16	0,00161221
16	0,00129826
16	0,00131753
16	0,00123409
16	0,00126796
16	0,00123381
16	0,00127963
17	0,00129354
17	0,00111618
17	0,000906128
17	0,000707726
17	0,000383897
17	-4,35E-05
17	-0,00024085
17	-0,000328803
17	-0,00019681
18	0,000142998
18	0,000696531
18	0,00140396
18	0,00229148
18	0,00318595
18	0,00398823
18	0,00468851
18	0,00522742
18	0,00561035
18	0,00574192
18	0,00560863
19	0,00531987
19	0,00498925
19	0,00452499
19	0,00407716
19	0,00369856
19	0,00331242
19	0,00306124
19	0,00292321
19	0,00283874
20	0,00284058
20	0,00290068
20	0,00282523
20	0,00289091
20	0,00293577
20	0,00296826
20	0,00288926
20	0,00295006
20	0,00294074
20	0,00292321
20	0,00287825
21	0,00291112
21	0,00291275
21	0,00280476
21	0,00282027
21	0,00268532
21	0,00263078
21	0,00248209
21	0,00236136
21	0,00234643
22	0,00221897
22	0,00213148
22	0,0019245
22	0,00189109
22	0,00179723
22	0,00165203
22	0,00163672
22	0,00161992
22	0,00169051
22	0,0016801
22	0,00162298
23	0,00163628
23	0,00150166
23	0,00133671
23	0,00113878
23	0,000803164
23	0,000414451
23	-7,02E-05
23	-0,00049513
23	-0,000659185
24	-0,000541214
24	-5,85E-05
24	0,000813694
24	0,00213418
24	0,00371338
24	0,00531739
24	0,00633627
24	0,00667302
24	0,00618152
24	0,00521395
24	0,00408531
25	0,00324651
25	0,00263922
25	0,00252244
25	0,00288118
25	0,00306414
25	0,00275921
25	0,00257748
25	0,00241217
25	0,00226575
26	0,00211049
26	0,00206189
26	0,00202179
26	0,00194954
26	0,00185364
26	0,00179016
26	0,00166896
26	0,00157772
26	0,00152353
26	0,00145453
26	0,00134164
27	0,00127701
27	0,00119308
27	0,00111789
27	0,00104378
27	0,00093775
27	0,000940422
27	0,000856176
27	0,000836796
27	0,000730381
28	0,000616818
28	0,000656232
28	0,000567505
28	0,000504066
28	0,000409503
28	0,000341277
28	0,000279779
28	0,000184028
28	0,000205361
28	3,29E-05
28	-1,86E-05
29	-0,000109994
29	-0,000119644
29	-0,000253613
29	-0,000293467
29	-0,000366704
29	-0,000448089
29	-0,000455013
29	-0,000493731
29	-0,000543894
30	-0,000595853
30	-0,000628613
30	-0,000650781
30	-0,000691017
30	-0,00079153
30	-0,000892599
30	-0,000968844
30	-0,00100637
30	-0,00109833
30	-0,00115257
30	-0,00125924
31	-0,001199
31	-0,00122076
31	-0,00120763
31	-0,00116867
31	-0,00111954
31	-0,000962241
31	-0,000888168
31	-0,000768682
31	-0,000606679
32	-0,000374994
32	-8,22E-05
32	0,000203225
32	0,000538698
32	0,000829446
32	0,00126115
32	0,00168593
32	0,00215755
32	0,00261073
32	0,00320663
32	0,00371409
33	0,00427994
33	0,00498853
33	0,00572285
33	0,00643191
33	0,00722776
33	0,00804545
33	0,0088418
33	0,00967505
33	0,0104709
34	0,0113754
34	0,0120104
34	0,0127703
34	0,0132682
34	0,0136518
34	0,0138842
34	0,0138346
34	0,0135228
34	0,0130023
34	0,0120994
34	0,0109058
35	0,00925493
35	0,00773699
35	0,00636953
35	0,00542511
35	0,00504297
35	0,0052192
35	0,00602444
35	0,00718588
35	0,00815399
36	0,00856744
36	0,00822051
36	0,00787847
36	0,00772627
36	0,00773389
36	0,00776612
36	0,00753833
36	0,00765642
36	0,00753397
36	0,00748835
36	0,00738363
37	0,00728032
37	0,00738784
37	0,00737014
37	0,00744789
37	0,00747667
37	0,00749217
37	0,00757346
37	0,00760897
37	0,00749944
38	0,00739397
38	0,00731179
38	0,00705775
38	0,00686036
38	0,00669085
38	0,006469
38	0,00613088
38	0,00593012
38	0,00580587
38	0,00570468
38	0,00568886
39	0,00601261
39	0,0059908
39	0,00577074
39	0,00580819
39	0,00581015
39	0,00585868
39	0,00591219
39	0,00594871
39	0,00587904
40	0,00607117
40	0,00624101
40	0,00600898
40	0,00613405
40	0,00594863
40	0,00595827
40	0,00592145
40	0,00579711
40	0,00577568
40	0,00573066
40	0,00576041
41	0,00570967
41	0,00566342
41	0,00562828
41	0,00566327
41	0,00560714
41	0,0055792
41	0,00557613
41	0,0055396
41	0,00548316
42	0,00542213
42	0,00536382
42	0,00533138
42	0,00526452
42	0,0052557
42	0,00532703
42	0,00532097
42	0,00519452
42	0,00514042
42	0,00509818
42	0,00513205
43	0,00502029
43	0,00499635
43	0,00501744
43	0,00495441
43	0,00487283
43	0,00476941
43	0,00483376
43	0,00480783
43	0,00472678
44	0,00466585
44	0,00464
44	0,00460639
44	0,00462001
44	0,00460189
44	0,00453986
44	0,00460741
44	0,0045684
44	0,00459437
44	0,0046211
44	0,00467217
45	0,00468845
45	0,00473017
45	0,00472172
45	0,00481737
45	0,00480329
45	0,00472247
45	0,00476605
45	0,00480691
45	0,0048249
46	0,00485933
46	0,00491569
46	0,00491466
46	0,00491786
46	0,00492867
46	0,00489223
46	0,0049198
46	0,00492571
46	0,00484192
46	0,00490997
46	0,00484376
47	0,00481867
47	0,00479411
47	0,00483774
47	0,00475187
47	0,00475529
47	0,00471009
47	0,00474837
47	0,00474766
47	0,00475259
48	0,00475715
48	0,00469672
48	0,00476217
48	0,00470089
48	0,0046995
48	0,00471003
48	0,00470528
48	0,00475395
48	0,00474337
48	0,00478601
48	0,00472517
49	0,00477245
49	0,0046696
49	0,00471381
49	0,00466097
49	0,0045863
49	0,00460648
