"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.051477167E0,2.390528870E-1,1.905537415E-1,9.818083191E0
4.061548167E0,2.478845215E-1,1.480421448E-1,9.810299377E0
4.071618167E0,2.484832764E-1,1.519340515E-1,9.800120544E0
4.081689167E0,2.411485291E-1,1.669029236E-1,9.819879456E0
4.091759167E0,2.392025757E-1,2.002835083E-1,9.807754669E0
4.101829167E0,2.490820312E-1,2.335144043E-1,9.822124786E0
4.111900167E0,2.284249878E-1,2.311193848E-1,9.819131012E0
4.121970167E0,2.377056885E-1,2.245330811E-1,9.821825409E0
4.132041167E0,2.351609802E-1,1.917512512E-1,9.812544708E0
4.142111167E0,2.332150269E-1,1.414558411E-1,9.807305603E0
4.152182167E0,2.344125366E-1,1.297801208E-1,9.812844086E0
4.162252167E0,2.511776733E-1,1.511856079E-1,9.799072723E0
4.172323167E0,2.348616028E-1,1.910028076E-1,9.820029144E0
4.182393167E0,2.462379456E-1,2.137554932E-1,9.817933502E0
4.192464167E0,2.261796570E-1,2.305206299E-1,9.837542725E0
4.202534167E0,2.439926147E-1,2.290237427E-1,9.834548950E0
4.212605167E0,2.333647156E-1,2.106120300E-1,9.821226654E0
4.222675167E0,2.212399292E-1,2.019300842E-1,9.818681946E0
4.232746167E0,2.365081787E-1,1.938468933E-1,9.800419922E0
4.242816167E0,2.237846375E-1,1.737886047E-1,9.817035370E0
4.252887167E0,2.643502808E-1,1.459465027E-1,9.800419922E0
4.262957167E0,2.484832764E-1,1.508862305E-1,9.824070740E0
4.273028167E0,2.342628479E-1,1.935475159E-1,9.807155914E0
4.283098167E0,2.418969727E-1,2.070195007E-1,9.811047821E0
4.293169167E0,2.396516418E-1,2.101629639E-1,9.816436615E0
4.303239167E0,2.308200073E-1,2.203417969E-1,9.814041595E0
4.313310167E0,2.409988403E-1,2.329156494E-1,9.820927277E0
4.323380167E0,2.327659607E-1,1.981878662E-1,9.820478210E0
4.333451167E0,2.366578674E-1,1.916015625E-1,9.817185059E0
4.343521167E0,2.242337036E-1,1.761836243E-1,9.813293152E0
4.353592167E0,2.213896179E-1,1.754351807E-1,9.801916809E0
4.363662167E0,2.255809021E-1,1.574725342E-1,9.804012451E0
4.373732167E0,2.365081787E-1,1.508862305E-1,9.795929260E0
4.383803167E0,2.445913696E-1,1.535806274E-1,9.808054047E0
4.393873167E0,2.436932373E-1,1.778302002E-1,9.818831635E0
4.403944167E0,2.472857666E-1,1.990859985E-1,9.808652802E0
4.414014167E0,2.293231201E-1,2.119592285E-1,9.817783813E0
4.424085167E0,2.445913696E-1,2.140548706E-1,9.826465759E0
4.434155167E0,2.374063110E-1,2.020797729E-1,9.819580078E0
4.444226167E0,2.387535095E-1,1.793270874E-1,9.808652802E0
4.454296167E0,2.335144043E-1,1.648072815E-1,9.798773346E0
4.464367167E0,2.344125366E-1,1.664538574E-1,9.805509338E0
4.474437167E0,2.291734314E-1,1.633103943E-1,9.807155914E0
4.484508167E0,2.249821472E-1,1.820214844E-1,9.830058289E0
4.494578167E0,2.317181396E-1,2.155517578E-1,9.819280701E0
4.504649167E0,2.242337036E-1,2.267784119E-1,9.834548950E0
4.514719167E0,2.453398132E-1,2.275268555E-1,9.819430389E0
4.524790167E0,2.345622253E-1,2.083666992E-1,9.821825409E0
4.534860167E0,2.320175171E-1,1.820214844E-1,9.810748444E0
4.544931167E0,2.493814087E-1,1.675016785E-1,9.799222412E0
4.555001167E0,2.278262329E-1,1.716929626E-1,9.811347198E0
4.565072167E0,2.363584900E-1,1.698966980E-1,9.807904358E0
4.575142167E0,2.278262329E-1,1.899549866E-1,9.820478210E0
4.585213167E0,2.315684509E-1,2.032772827E-1,9.810299377E0
4.595283167E0,2.415975952E-1,1.962419128E-1,9.822873230E0
4.605354167E0,2.390528870E-1,2.119592285E-1,9.810000000E0
4.615424167E0,2.420466614E-1,2.004331970E-1,9.826016693E0
4.625495167E0,2.315684509E-1,1.779798889E-1,9.803413696E0
4.635565167E0,2.171983337E-1,1.591191101E-1,9.813742218E0
4.645636167E0,2.332150269E-1,1.836680603E-1,9.826465759E0
4.655706167E0,2.392025757E-1,1.908531189E-1,9.822124786E0
4.665777167E0,2.317181396E-1,1.851649475E-1,9.815388794E0
4.675847167E0,2.442919922E-1,1.820214844E-1,9.811496887E0
4.685918167E0,2.351609802E-1,1.820214844E-1,9.821376343E0
4.695988167E0,2.395019531E-1,1.713935852E-1,9.808952179E0
4.706059167E0,2.436932373E-1,1.854643250E-1,9.808054047E0
4.716129167E0,2.254312134E-1,1.875599670E-1,9.805958405E0
4.726200167E0,2.381547546E-1,1.899549866E-1,9.812245331E0
4.736270167E0,2.239343262E-1,2.177970886E-1,9.827064514E0
4.746341167E0,2.258802795E-1,2.164498901E-1,9.822723541E0
4.756411167E0,2.369572449E-1,2.140548706E-1,9.841584320E0
4.766482167E0,2.314187622E-1,1.896556091E-1,9.800569611E0
4.776552167E0,2.272274780E-1,1.793270874E-1,9.818083191E0
4.786623167E0,2.344125366E-1,1.950444031E-1,9.805060272E0
4.796693167E0,2.314187622E-1,1.923500061E-1,9.812993774E0
4.806764167E0,2.368075562E-1,2.083666992E-1,9.825417938E0
4.816834167E0,2.266287231E-1,2.116598511E-1,9.819430389E0
4.826905167E0,2.384541321E-1,2.101629639E-1,9.828860779E0
4.836975167E0,2.395019531E-1,1.968406677E-1,9.817783813E0
4.847046167E0,2.371069336E-1,1.763333130E-1,9.829309845E0
4.857116167E0,2.417472839E-1,1.746867371E-1,9.814041595E0
4.867187167E0,2.332150269E-1,1.743873596E-1,9.821376343E0
4.877257167E0,2.368075562E-1,1.769320679E-1,9.812095642E0
4.887328167E0,2.427951050E-1,1.779798889E-1,9.828112335E0
4.897398167E0,2.466870117E-1,2.023791504E-1,9.822723541E0
4.907469167E0,2.395019531E-1,2.130070496E-1,9.817783813E0
4.917539167E0,2.432441711E-1,2.013313293E-1,9.817035370E0
4.927610167E0,2.415975952E-1,1.917512512E-1,9.814790039E0
4.937680167E0,2.318678284E-1,1.981878662E-1,9.834998016E0
4.947751167E0,2.404000854E-1,1.941462708E-1,9.807904358E0
4.957821167E0,2.299218750E-1,1.986369324E-1,9.818681946E0
4.967892167E0,2.409988403E-1,2.064207458E-1,9.816286926E0
4.977962167E0,2.309696960E-1,1.965412903E-1,9.812694397E0
4.988032750E0,2.468367004E-1,1.721420288E-1,9.821675720E0
4.998102750E0,2.396516418E-1,1.754351807E-1,9.804162140E0
5.008173750E0,2.405497742E-1,1.989363098E-1,9.817185059E0
5.018243750E0,2.297721863E-1,2.034269714E-1,9.812245331E0
5.028314750E0,2.270777893E-1,2.224374390E-1,9.810149689E0
5.038384750E0,2.326162720E-1,2.052232361E-1,9.829160156E0
5.048455750E0,2.381547546E-1,1.811233521E-1,9.812844086E0
5.058525750E0,2.335144043E-1,1.966909790E-1,9.823471985E0
5.068596750E0,2.348616028E-1,1.842668152E-1,9.812844086E0
5.078666750E0,2.269281006E-1,2.067201233E-1,9.824519806E0
5.088737750E0,2.363584900E-1,2.025288391E-1,9.817634125E0
5.098807750E0,2.435435486E-1,2.067201233E-1,9.827064514E0
5.108878750E0,2.423460388E-1,1.983375549E-1,9.822873230E0
5.118948750E0,2.432441711E-1,1.857637024E-1,9.807305603E0
5.129019750E0,2.441423035E-1,1.790277100E-1,9.818532257E0
5.139089750E0,2.363584900E-1,1.896556091E-1,9.801168365E0
5.149160750E0,2.411485291E-1,1.769320679E-1,9.816137238E0
5.159230750E0,2.409988403E-1,1.707948303E-1,9.803713074E0
5.169301750E0,2.483335876E-1,1.850152588E-1,9.824220428E0
5.179371750E0,2.432441711E-1,1.927990723E-1,9.811796265E0
5.189442750E0,2.395019531E-1,2.071691895E-1,9.820328522E0
5.199512750E0,2.448907471E-1,2.109114075E-1,9.825567627E0
5.209583750E0,2.405497742E-1,2.037263489E-1,9.825567627E0
5.219653750E0,2.402503967E-1,1.938468933E-1,9.832303619E0
5.229724750E0,2.266287231E-1,1.886077881E-1,9.815688171E0
5.239794750E0,2.366578674E-1,1.791773987E-1,9.818681946E0
5.249865750E0,2.390528870E-1,1.606159973E-1,9.799970856E0
5.259935750E0,2.380050659E-1,1.731898499E-1,9.816586304E0
5.270006750E0,2.405497742E-1,1.919009399E-1,9.810149689E0
5.280076750E0,2.216889954E-1,2.131567383E-1,9.823022919E0
5.290147750E0,2.348616028E-1,2.112107849E-1,9.824669495E0
5.300217750E0,2.293231201E-1,1.954934692E-1,9.814640350E0
5.310288750E0,2.276765442E-1,2.079176331E-1,9.822573853E0
5.320358750E0,2.308200073E-1,1.911524963E-1,9.819131012E0
5.330429750E0,2.302212524E-1,1.736389160E-1,9.814340973E0
5.340499750E0,2.270777893E-1,1.670526123E-1,9.803413696E0
5.350570750E0,2.227368164E-1,1.736389160E-1,9.798923035E0
5.360640750E0,2.297721863E-1,1.769320679E-1,9.815239105E0
5.370711750E0,2.240840149E-1,1.983375549E-1,9.823921051E0
5.380781750E0,2.290237427E-1,2.171983337E-1,9.818981323E0
5.390852750E0,2.312690735E-1,2.008822632E-1,9.814939728E0
5.400922750E0,2.387535095E-1,2.071691895E-1,9.813742218E0
5.410993750E0,2.311193848E-1,2.073188782E-1,9.819280701E0
5.421063750E0,2.308200073E-1,1.806742859E-1,9.809700623E0
5.431134750E0,2.347119141E-1,1.821711731E-1,9.812844086E0
5.441204750E0,2.257305908E-1,1.935475159E-1,9.816286926E0
5.451275750E0,2.447410583E-1,1.895059204E-1,9.815688171E0
5.461345750E0,2.330653381E-1,1.875599670E-1,9.802964630E0
5.471416750E0,2.351609802E-1,2.017803955E-1,9.821675720E0
5.481486750E0,2.309696960E-1,1.977388000E-1,9.821526031E0
5.491557750E0,2.396516418E-1,2.043251038E-1,9.811796265E0
5.501627750E0,2.177970886E-1,1.826202393E-1,9.807904358E0
5.511698750E0,2.453398132E-1,1.995350647E-1,9.822573853E0
5.521769750E0,2.345622253E-1,1.830693054E-1,9.808203735E0
5.531839750E0,2.339634705E-1,1.895059204E-1,9.818532257E0
5.541910750E0,2.248324585E-1,1.814227295E-1,9.811047821E0
5.551980750E0,2.395019531E-1,1.942959595E-1,9.835447083E0
5.562051750E0,2.224374390E-1,1.751358032E-1,9.800569611E0
5.572121750E0,2.338137817E-1,1.802252197E-1,9.835297394E0
5.582192750E0,2.329156494E-1,1.911524963E-1,9.783505096E0
5.592262750E0,2.327659607E-1,2.103126526E-1,9.842183075E0
5.602333750E0,2.290237427E-1,2.085163879E-1,9.805060272E0
5.612403750E0,2.384541321E-1,2.329156494E-1,9.840686188E0
5.622474750E0,2.451901245E-1,1.999841309E-1,9.807155914E0
5.632544750E0,2.233355713E-1,1.417552185E-1,9.835297394E0
5.642615750E0,2.398013306E-1,1.637594604E-1,9.796827393E0
5.652685750E0,2.377056885E-1,1.692979431E-1,9.822424164E0
5.662756750E0,2.308200073E-1,1.892065430E-1,9.812245331E0
5.672826750E0,2.392025757E-1,1.962419128E-1,9.812993774E0
5.682897750E0,2.207908630E-1,1.939965820E-1,9.830058289E0
5.692967750E0,2.315684509E-1,1.998344421E-1,9.809700623E0
5.703038750E0,2.393522644E-1,2.025288391E-1,9.821825409E0
5.713108750E0,2.372566223E-1,1.898052979E-1,9.812095642E0
5.723179750E0,2.215393066E-1,1.939965820E-1,9.817933502E0
5.733249750E0,2.282752991E-1,1.896556091E-1,9.805209961E0
5.743320750E0,2.386038208E-1,1.806742859E-1,9.821076965E0
5.753390750E0,2.306703186E-1,1.791773987E-1,9.824968872E0
5.763461750E0,2.399510193E-1,1.769320679E-1,9.819280701E0
5.773531750E0,2.344125366E-1,1.817221069E-1,9.833052063E0
5.783602750E0,2.396516418E-1,1.857637024E-1,9.813442841E0
5.793673750E0,2.195933533E-1,2.095642090E-1,9.809101868E0
5.803743750E0,1.841171265E-1,2.245330811E-1,9.832902374E0
5.813814750E0,2.606080627E-1,2.020797729E-1,9.807754669E0
5.823884750E0,2.634521484E-1,1.758842468E-1,9.817634125E0
5.833955750E0,2.412982178E-1,1.913021851E-1,9.808952179E0
5.844025750E0,2.332150269E-1,1.923500061E-1,9.850415955E0
5.854096750E0,2.315684509E-1,1.880090332E-1,9.805060272E0
5.864166750E0,2.398013306E-1,2.055226135E-1,9.826615448E0
5.874237750E0,2.152523804E-1,2.380050659E-1,9.816885681E0
5.884307750E0,2.251318359E-1,1.393601990E-1,9.829459534E0
5.894378750E0,2.170486450E-1,1.785786438E-1,9.808203735E0
5.904448750E0,2.489323425E-1,1.848655701E-1,9.815688171E0
5.914519750E0,2.398013306E-1,1.899549866E-1,9.819879456E0
5.924589750E0,2.007325745E-1,1.896556091E-1,9.810000000E0
5.934660750E0,2.118095398E-1,1.975891113E-1,9.816586304E0
5.944730750E0,2.332150269E-1,1.829196167E-1,9.820029144E0
5.954801750E0,2.320175171E-1,1.923500061E-1,9.825717316E0
5.964871750E0,2.445913696E-1,1.622625732E-1,9.811197510E0
5.974942750E0,2.433938599E-1,1.926493835E-1,9.825417938E0
5.985013917E0,2.318678284E-1,2.499801636E-1,9.828711090E0
5.995084917E0,2.320175171E-1,3.200344849E-1,9.835596771E0
6.005154917E0,2.526745605E-1,3.179388428E-1,9.845476227E0
6.015225917E0,2.565664673E-1,2.556683350E-1,9.832303619E0
6.025296917E0,2.408491516E-1,1.689985657E-1,9.813742218E0
6.035366917E0,2.186952209E-1,8.607101440E-2,9.798024902E0
6.045437917E0,2.191442871E-1,4.101470947E-2,9.767338715E0
6.055507917E0,2.237846375E-1,5.972579956E-2,9.792636108E0
6.065578917E0,2.254312134E-1,1.431024170E-1,9.800569611E0
6.075648917E0,2.363584900E-1,2.396516418E-1,9.838740234E0
6.085719917E0,2.727328491E-1,2.724334717E-1,9.828112335E0
6.095789917E0,2.610571289E-1,2.640509033E-1,9.842332764E0
6.105860917E0,2.398013306E-1,2.146536255E-1,9.822723541E0
6.115930917E0,3.203338623E-1,1.175056458E-1,9.803114319E0
6.126001917E0,2.784210205E-1,1.064286804E-1,9.776020660E0
6.136071917E0,7.200027466E-2,1.953437805E-1,9.812844086E0
6.146142917E0,1.219963074E-1,2.188449097E-1,9.824819183E0
6.156212917E0,2.733316040E-1,2.137554932E-1,9.844278717E0
6.166283917E0,2.056723022E-1,2.643502808E-1,9.841584320E0
6.176353917E0,1.850152588E-1,2.914439392E-1,9.838740234E0
6.186424917E0,2.312690735E-1,2.577639771E-1,9.826914825E0
6.196495917E0,1.990859985E-1,2.203417969E-1,9.820777588E0
6.206565917E0,1.895059204E-1,2.046244812E-1,9.818532257E0
6.216636917E0,-1.933978271E-1,3.770658875E-1,9.810748444E0
6.226706917E0,2.095642090E-2,3.826043701E-1,9.800868988E0
6.236777917E0,5.180726624E-1,1.504371643E-1,9.819879456E0
6.246847917E0,5.508544922E-2,4.364923096E-1,9.819580078E0
6.256918917E0,3.239263916E-1,5.005590820E-1,9.816586304E0
6.266988917E0,1.109193420E-1,3.517684937E-1,9.826765137E0
6.277059917E0,-4.191284180E-1,4.082011414E-1,9.856104126E0
6.287129917E0,1.220711517E0,-2.514770508E-1,9.799072723E0
