"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.490868750E-1,9.203832597E-4,3.710640594E-4,6.138724275E-4
8.591568750E-1,1.604587771E-3,1.393984770E-3,3.419470042E-3
8.692278750E-1,4.453132860E-4,3.896839917E-5,-1.072749961E-3
8.792978750E-1,1.358624548E-3,1.512772869E-4,-3.182343207E-4
8.893678750E-1,2.082738094E-3,-1.160862157E-3,-9.320927784E-4
8.994388750E-1,3.633987624E-3,-1.367906807E-3,7.222853601E-4
9.095088750E-1,-1.512837131E-3,-2.672056668E-3,-4.825287033E-4
9.195788750E-1,-3.272914328E-4,-1.798624406E-3,2.304287627E-4
9.296488750E-1,3.295939416E-3,-2.606360940E-3,-7.032754365E-4
9.397198750E-1,8.764476515E-4,1.052429317E-3,2.689153655E-3
9.497898750E-1,1.952631399E-3,2.273819409E-4,1.380742644E-3
9.598608750E-1,-4.512653686E-4,-1.674874686E-3,7.728112396E-4
9.699308750E-1,8.166655898E-4,-5.379712675E-4,2.749675652E-3
9.800006250E-1,2.102753147E-3,-1.954126172E-3,-1.906943973E-3
9.900716250E-1,7.111113518E-6,-1.127747353E-3,5.080103874E-4
1.000141625E0,8.240137249E-4,-1.837550662E-4,-7.721977308E-4
1.010211625E0,1.992608886E-3,2.274875296E-3,-3.207919654E-4
1.020282625E0,9.639044292E-4,-1.898224931E-3,1.158212661E-3
1.030352625E0,2.082698047E-3,-1.823501661E-4,4.017648753E-3
1.040422625E0,7.145870477E-4,-5.714700092E-4,-3.750983160E-4
1.050493625E0,-1.034311019E-3,-1.171213808E-3,2.827086486E-3
1.060563625E0,2.578441054E-4,5.153658567E-4,9.721503593E-4
1.070633625E0,2.156677656E-3,-6.865186151E-4,-1.195396530E-3
1.080704625E0,6.940178573E-4,-9.687838610E-4,2.011317993E-3
1.090774625E0,3.417100292E-3,8.316477761E-5,1.844604150E-3
1.100844625E0,-1.387629192E-3,2.318580402E-3,6.473464891E-4
1.110915625E0,2.259036992E-3,8.269438986E-4,1.709947828E-3
1.120985625E0,-7.430687547E-4,-1.069179503E-3,1.848747255E-3
1.131055625E0,3.967639059E-4,4.293811508E-4,-8.240011521E-4
1.141126625E0,3.026546910E-4,4.139337689E-4,1.050768187E-3
1.151196625E0,-1.687792130E-3,4.056779435E-4,-1.973517705E-3
1.161266625E0,8.525094017E-4,-4.587462172E-5,-6.457173731E-4
1.171337625E0,-4.774732515E-4,4.558648216E-4,-8.086091839E-5
1.181407625E0,7.452219725E-4,-1.889367355E-3,1.887290971E-3
1.191477625E0,-4.678480327E-4,-2.459283685E-3,8.731592679E-4
1.201548625E0,-1.462590415E-3,1.474125311E-4,1.478472142E-3
1.211618625E0,-5.190325901E-4,-2.089376561E-3,6.986984517E-4
1.221689625E0,2.277060412E-3,-2.088792855E-3,-1.195134595E-3
1.231759625E0,-2.946730005E-3,2.621273976E-3,6.786654703E-4
1.241829625E0,-3.956216387E-4,1.205911394E-3,1.313926885E-3
1.251900625E0,-6.856396794E-4,-1.994387712E-4,2.068933100E-3
1.261970625E0,-8.582947776E-4,-8.192260284E-4,8.274281863E-4
1.272040625E0,1.417376101E-3,-7.792785764E-4,-1.067677280E-3
1.282111625E0,-9.971158579E-4,-3.779733088E-4,3.678970970E-4
1.292181625E0,1.648201607E-3,-1.018463401E-3,-4.632754717E-4
1.302251625E0,-8.022664115E-4,-3.524306696E-3,-6.332697812E-4
1.312322625E0,7.391348481E-5,1.160460059E-3,-1.118229702E-4
1.322392625E0,7.204851136E-4,7.207881426E-4,3.019814147E-3
1.332462625E0,7.471167482E-4,4.145245766E-4,-4.899657797E-4
1.342533625E0,6.330292672E-4,-7.078915369E-4,1.522213686E-3
1.352603625E0,1.302015036E-3,-1.535069430E-3,-1.049867366E-3
1.362674625E0,9.194319136E-4,-1.088417135E-3,2.074411605E-4
1.372744625E0,-2.542231232E-4,-5.155713297E-4,1.570979715E-3
1.382814625E0,9.750593454E-4,-1.741488231E-3,-4.289746284E-4
1.392885625E0,-5.983365700E-4,1.504638931E-3,-9.616068564E-4
1.402955625E0,-8.528484032E-4,-1.631029649E-3,4.235261120E-3
1.413025625E0,1.141592860E-3,-2.059722319E-4,1.910588006E-3
1.423096625E0,-1.337289810E-3,-4.367530346E-5,-2.448575106E-4
1.433166625E0,2.582101151E-4,-1.119592227E-3,3.027901053E-3
1.443236625E0,4.814299755E-4,3.490786301E-3,-1.531418413E-3
1.453307625E0,7.581324317E-4,-1.593423076E-4,3.058966249E-4
1.463377625E0,1.229274087E-3,1.595562906E-3,5.972629879E-4
1.473447625E0,1.879776828E-4,-1.988750882E-4,4.803503398E-4
1.483518625E0,6.439317949E-4,-1.093463041E-3,1.399526256E-3
1.493588625E0,1.375235617E-3,-9.560440667E-4,1.399526256E-3
1.503659625E0,-6.401645951E-4,-3.077967791E-3,1.949973637E-3
1.513729625E0,2.555362415E-3,-9.911146481E-4,4.631308839E-4
1.523799625E0,1.250677276E-3,1.693918020E-3,1.224218169E-3
1.533870625E0,3.898658324E-3,2.310436685E-4,-1.611515647E-3
1.543940625E0,-7.135560736E-4,-8.042762056E-4,4.136636853E-4
1.554010625E0,-5.558971316E-4,-7.584698033E-4,1.168137183E-3
1.564081625E0,-1.242920291E-3,2.495518653E-3,-2.597291023E-3
1.574151625E0,-2.429033630E-4,2.131198067E-3,-2.006602008E-3
1.584222625E0,-2.741420642E-3,-1.268589403E-3,1.585060148E-3
1.594292625E0,-1.637806650E-3,3.493408673E-3,-2.079981845E-3
1.604362625E0,-2.179198433E-3,-1.451427117E-3,-2.237258013E-4
1.614433625E0,-8.984841406E-4,1.754219877E-3,-9.089573286E-4
1.624503625E0,6.870431826E-4,1.476737438E-3,-1.082160743E-3
1.634573625E0,-6.195036694E-4,-1.217316370E-3,1.787661575E-3
1.644644625E0,-8.363579400E-4,2.720913617E-3,-1.108348835E-3
1.654714625E0,8.060135879E-4,5.973089719E-4,-2.675887663E-4
1.664785625E0,-1.881918404E-3,1.206860063E-3,-8.920212276E-4
1.674855625E0,-5.242386833E-4,3.658566158E-3,2.581806155E-3
1.684925625E0,3.271540627E-4,1.228756504E-3,4.516565241E-5
1.694996625E0,1.204926521E-4,8.762348443E-6,-8.842775133E-4
1.705066625E0,-4.454995506E-4,1.811963506E-3,-9.988658130E-4
1.715136625E0,-2.527292352E-3,1.574143302E-3,-1.913395245E-3
1.725207625E0,-2.640024759E-3,2.225833014E-3,1.034969813E-3
1.735277625E0,5.115601234E-4,1.179743325E-3,3.047254402E-3
1.745348625E0,-2.525378950E-3,1.723594731E-3,-8.211925160E-4
1.755418625E0,2.135952003E-3,2.219208982E-3,6.976083387E-4
1.765488625E0,-1.531447750E-3,-4.221347626E-4,7.358680014E-4
1.775559625E0,-1.764740795E-3,-6.500491872E-5,1.251722337E-3
1.785629625E0,7.671541534E-4,-7.008318789E-5,2.034825739E-3
1.795699625E0,-2.156996634E-3,-1.118835993E-3,4.478481133E-4
1.805770625E0,-2.541998867E-3,-4.668352194E-4,4.735558759E-4
1.815840625E0,-9.981640615E-4,-1.131560188E-3,9.667733684E-4
1.825911625E0,-5.483627319E-6,-2.859057859E-4,1.965388656E-3
1.835981625E0,2.539699432E-3,2.701622434E-4,1.230089809E-3
1.846051625E0,-5.890061148E-4,-2.908478491E-3,4.749991931E-4
1.856122625E0,-4.037000705E-3,3.368495964E-4,1.704048016E-3
1.866192625E0,1.168596558E-3,-1.322553260E-3,7.018984761E-4
1.876262625E0,9.081391618E-4,-6.740735844E-4,-1.106387703E-3
1.886333625E0,1.562769059E-3,-1.799104968E-3,-8.760790806E-4
1.896403625E0,2.279691864E-3,4.925451940E-4,1.281613950E-3
1.906474625E0,-2.381429076E-4,7.813868579E-4,2.195768291E-3
1.916544625E0,-5.212365650E-4,8.736713789E-5,8.316972526E-4
1.926614625E0,-2.249774057E-3,1.834234921E-3,-7.127649151E-4
1.936685625E0,-2.902201377E-4,1.097870991E-3,-2.953548683E-3
1.946755625E0,9.127524681E-4,-1.936726272E-3,7.155840285E-4
1.956826625E0,-1.258789096E-3,-3.268453293E-4,1.091160811E-5
1.966896625E0,-3.282516263E-4,-1.340441639E-3,-2.140131779E-3
1.976966625E0,1.244078390E-3,1.519793412E-3,2.407343127E-4
1.987038000E0,-1.699058339E-5,6.966956425E-4,2.088384237E-3
1.997108000E0,9.433450177E-4,-2.110275906E-3,-9.060741868E-4
2.007179000E0,-2.979538403E-3,1.720044995E-3,5.936452653E-4
2.017249000E0,-1.335302833E-3,-8.397854399E-4,-5.962550640E-4
2.027319000E0,-1.472792123E-3,-1.197357196E-3,-2.381567843E-3
2.037390000E0,-1.444296446E-3,2.756371628E-3,-7.128310390E-4
2.047460000E0,-1.663575415E-3,-1.852830406E-3,1.955667278E-3
2.057531000E0,1.676028594E-3,1.872665831E-3,-5.809937138E-4
2.067601000E0,1.264125109E-3,-3.525963984E-4,4.247776233E-4
2.077671000E0,2.164370380E-4,-1.127576455E-3,3.776396625E-4
2.087742000E0,-6.319642998E-4,-7.487533148E-4,4.204111174E-4
2.097812000E0,-1.362203155E-3,-4.960193764E-4,-4.794711713E-4
2.107882000E0,1.378595829E-3,2.781936200E-3,9.022175800E-4
2.117953000E0,-8.512693457E-4,-2.282330999E-3,-1.368925907E-3
2.128023000E0,-4.815268330E-4,-2.197396941E-3,1.209963113E-3
2.138094000E0,-1.120951958E-3,1.827970962E-3,1.025938662E-3
2.148164000E0,2.021364868E-3,-1.395002007E-3,1.953412779E-3
2.158234000E0,9.608943947E-4,1.750723808E-3,7.352828979E-4
2.168305000E0,2.048365772E-3,3.436959349E-3,1.132277772E-3
2.178375000E0,1.726655290E-3,-2.592420205E-4,-8.424562402E-4
2.188446000E0,1.562121790E-3,-1.095970860E-3,3.698072396E-5
2.198516000E0,1.975444611E-3,-2.944737207E-3,2.713723807E-3
2.208587000E0,-1.614568755E-4,-3.129104618E-3,5.210167728E-5
2.218657000E0,6.785038859E-4,-9.234747849E-4,9.996544104E-4
2.228727000E0,1.699181739E-3,5.224107299E-4,2.921225037E-3
2.238798000E0,-1.596746501E-3,-8.704224601E-4,-6.923847832E-5
2.248868000E0,-2.534613013E-4,-7.630418986E-5,-3.848131746E-5
2.258939000E0,-1.008622348E-4,9.600236081E-5,-6.866946351E-4
2.269009000E0,5.332068540E-4,3.441259265E-3,-1.744324574E-3
2.279079000E0,-7.419143803E-4,2.882528119E-3,1.255193609E-3
2.289150000E0,1.648999751E-5,-3.676256165E-5,-8.854588959E-4
2.299220000E0,-1.858108677E-3,2.458885545E-3,6.487881765E-4
2.309291000E0,2.828859724E-4,3.993649036E-3,2.447044477E-3
2.319361000E0,1.637636684E-3,3.266073298E-3,4.944147076E-4
2.329431000E0,1.361837611E-3,1.491910662E-3,7.618116215E-4
2.339502000E0,2.984371968E-4,6.796466187E-4,-4.512583837E-4
2.349572000E0,-1.217647456E-3,-1.097559463E-3,1.950790640E-3
2.359643000E0,-1.536427997E-3,4.822276533E-4,4.975036718E-4
2.369713000E0,9.273267351E-4,-1.594975591E-3,3.071827581E-3
2.379783000E0,2.186469268E-3,-8.719272446E-4,-4.800304305E-4
2.389854000E0,1.174211502E-4,3.764480352E-4,-6.686667912E-4
2.399924000E0,-1.883944497E-3,-9.138535243E-4,-5.509550683E-4
2.409995000E0,6.824503653E-4,8.740331978E-4,2.094464377E-3
2.420065000E0,1.546116546E-4,-1.447177958E-3,4.670065828E-4
2.430135000E0,9.095882997E-4,-6.306869909E-5,8.872414473E-4
2.440206000E0,-7.671378553E-4,-4.551294260E-3,1.585788676E-3
2.450276000E0,-1.511369832E-3,-6.269846577E-3,-2.523614094E-4
2.460347000E0,-9.390562773E-4,-5.169428419E-3,8.685630746E-4
2.470417000E0,-3.718191758E-3,-4.565219395E-3,3.035909031E-4
2.480488000E0,-3.088087775E-3,-2.863992006E-3,3.090464324E-2
2.490558000E0,-6.591668352E-5,3.367233090E-3,5.608575046E-2
2.500628000E0,3.314966802E-3,2.679338679E-3,1.021568403E-1
2.510699000E0,4.312619101E-3,-1.438571373E-3,1.115489677E-1
2.520769000E0,3.184504341E-3,1.465073205E-3,8.883752674E-2
2.530840000E0,1.549107023E-3,6.022204645E-3,1.124692410E-1
2.540910000E0,5.039178766E-3,6.464555860E-3,9.930443764E-2
2.550980000E0,-1.918831840E-4,-5.510698538E-4,5.641157180E-2
2.561051000E0,3.726692405E-3,6.727881730E-3,7.575588766E-3
2.571121000E0,3.238521516E-3,8.556572720E-5,6.074623205E-3
2.581192000E0,1.761266030E-3,9.178662673E-3,2.393804118E-2
2.591262000E0,-1.212570816E-3,-4.328561481E-4,-8.545788936E-3
2.601333000E0,5.300456192E-3,1.836852916E-2,-8.960682154E-2
2.611403000E0,-1.550144516E-4,5.470402539E-3,-1.484743208E-1
2.621473000E0,6.015529390E-3,3.059732728E-2,-1.770292670E-1
2.631544000E0,3.869401291E-3,2.382025309E-2,-2.584601343E-1
2.641614000E0,-1.355432998E-2,-2.868450060E-2,-2.146969438E-1
2.651685000E0,-8.594116196E-3,4.917998798E-3,-1.027286351E-1
2.661755000E0,-6.250800565E-3,-3.251592815E-2,-6.290425360E-2
2.671825000E0,-1.261187345E-2,-4.953579232E-2,-3.632944450E-2
2.681896000E0,-1.735443063E-2,-3.297252953E-2,-1.241876557E-1
2.691966000E0,-8.351350203E-3,-6.008247845E-3,-1.978498995E-1
2.702037000E0,4.352172837E-4,7.145637646E-3,-2.275332212E-1
2.712107000E0,6.047639530E-3,-1.848748885E-2,-2.341948897E-1
2.722178000E0,1.167929266E-3,8.143021259E-4,-1.824827045E-1
2.732248000E0,-4.788611550E-3,-4.633456469E-3,-8.066612482E-2
2.742318000E0,-1.078397036E-4,-5.266622826E-2,3.072804026E-2
2.752389000E0,-1.013029926E-2,2.953026071E-2,1.459861547E-1
