Frequenz - Plot 0	Amplitude - Plot 0
0	0,0270946
0	0,00338616
0	0,00131599
0	-9,08E-05
0	0,000973478
0	0,000471697
1	-1,59E-06
1	-0,000657158
1	-0,00129901
1	9,50E-05
1	-0,000795293
1	-0,000854066
1	-0,000576716
1	-0,000425394
1	-0,000239426
2	-0,000507596
2	-0,000726872
2	-0,00069582
2	-0,000699403
2	-0,00101671
2	-0,000733132
2	-0,000795229
2	-0,00144036
2	-0,00111606
2	-0,00171283
2	-0,00196249
3	-0,0026114
3	-0,0040945
3	-0,00546958
3	0,00527288
3	0,0034152
3	0,00228722
3	0,00186002
3	0,00176369
3	0,00131809
4	0,00113092
4	0,00115564
4	0,000403037
4	0,000564192
4	0,000275829
4	0,000294214
4	8,31E-05
4	0,000514687
4	0,000198458
4	0,000168093
4	0,000119434
5	-3,45E-05
5	-0,000421567
5	-0,00041861
5	-0,000193921
5	-0,000397883
5	-0,00056714
5	-0,000428839
5	-0,000835726
5	-0,000565103
6	-0,0009143
6	-0,00122166
6	-0,00134561
6	-0,00135009
6	-0,00143331
6	-0,00183898
6	-0,00148108
6	-0,00202282
6	-0,00209181
6	-0,00222466
6	-0,00253861
7	-0,00249441
7	-0,00265086
7	-0,00265039
7	-0,00272416
7	-0,00304814
7	-0,00295493
7	-0,00330471
7	-0,00343193
7	-0,00349332
8	-0,0035902
8	-0,00311507
8	-0,00313826
8	-0,00228085
8	-0,00185381
8	-0,00148581
8	3,77E-05
8	0,000945004
8	0,00245896
8	0,00424293
8	0,00596972
9	0,00776605
9	0,0092503
9	0,0105535
9	0,0107941
9	0,0094153
9	0,00544385
9	-4,41E-05
9	-0,0049635
9	-0,000512214
10	0,00453785
10	0,0048958
10	0,00411936
10	0,0056491
10	0,0061306
10	0,00614533
10	0,00653887
10	0,00653737
10	0,00639775
10	0,006343
10	0,00567212
11	0,00557733
11	0,00544723
11	0,00506576
11	0,0049569
11	0,00474282
11	0,00480684
11	0,00453018
11	0,00441841
11	0,00454814
12	0,00455834
12	0,00442863
12	0,00415816
12	0,00407444
12	0,00395813
12	0,0040193
12	0,00409233
12	0,00402866
12	0,00428783
12	0,00417417
12	0,00402481
13	0,00378912
13	0,00383728
13	0,00378473
13	0,00368344
13	0,00363493
13	0,00349203
13	0,00341226
13	0,00337215
13	0,00323166
14	0,00314112
14	0,00286892
14	0,0027956
14	0,00268734
14	0,00281459
14	0,00271675
14	0,00268096
14	0,00230059
14	0,0021988
14	0,00197436
14	0,00179939
15	0,00166472
15	0,00152954
15	0,00146878
15	0,00122338
15	0,00104949
15	0,000723159
15	0,00025917
15	-0,000209705
15	-0,000477981
16	-0,000849218
16	-0,000910294
16	-0,000866107
16	-0,000570935
16	-0,00107881
16	-0,000378028
16	0,00830245
16	0,0103105
16	0,00667325
16	0,00551411
16	0,00502798
17	0,00466654
17	0,00447813
17	0,00420414
17	0,00409831
17	0,00409179
17	0,00416488
17	0,00410061
17	0,00417876
17	0,00430648
18	0,00444094
18	0,0045502
18	0,00449209
18	0,00443011
18	0,00436052
18	0,00436163
18	0,0043414
18	0,00437885
18	0,00410854
18	0,00410462
18	0,00388816
19	0,0037958
19	0,0036218
19	0,00351645
19	0,00334853
19	0,0033781
19	0,00323419
19	0,00339035
19	0,00321747
19	0,00316937
20	0,00297726
20	0,00282559
20	0,0026918
20	0,00268108
20	0,0028101
20	0,00271198
20	0,00277966
20	0,00287722
20	0,00270456
20	0,00279533
20	0,002862
21	0,00272604
21	0,0025674
21	0,00264354
21	0,00242015
21	0,00226985
21	0,00209959
21	0,00187756
21	0,00177215
21	0,00156903
22	0,0012057
22	0,00111988
22	0,000861512
22	0,000895008
22	0,00173279
22	0,00299261
22	0,00301118
22	0,00302403
