Frequenz - Plot 0	Amplitude - Plot 0
0	0,0301151
0	-0,00119079
0	4,24E-05
0	-0,000191717
0	7,66E-05
0	-0,000256726
1	-0,000614753
1	-0,000240118
1	-9,34E-06
1	-0,000226622
1	-0,000346981
1	-0,000105473
1	-0,000269627
1	-0,000176506
1	1,93E-05
2	4,03E-05
2	1,41E-05
2	-6,04E-05
2	5,34E-05
2	1,00E-05
2	-7,46E-05
2	-0,000145279
2	8,66E-05
2	-3,45E-05
2	-3,10E-05
2	1,27E-05
3	-0,000391845
3	-0,000199093
3	0,000136018
3	0,00214969
3	-0,000868857
3	0,000928336
3	0,00037711
3	0,000322354
3	7,12E-06
4	0,000181885
4	0,000167763
4	0,000158143
4	8,61E-05
4	0,000141171
4	0,000163546
4	0,000104056
4	0,000172633
4	7,69E-05
4	0,000270187
4	0,000259668
5	0,000126892
5	6,01E-05
5	-3,18E-05
5	-5,30E-05
5	-4,56E-05
5	2,68E-05
5	2,52E-05
5	-0,000147514
5	-0,000155254
6	-0,000203925
6	-3,54E-05
6	-0,000189406
6	-0,000258763
6	-0,000287447
6	-0,000212109
6	-0,000333679
6	-0,000419153
6	-0,000431162
6	-0,000467545
6	-0,000426811
7	-0,000796402
7	-0,000610642
7	-0,000521454
7	-0,000470486
7	-0,000865678
7	-0,000283552
7	-0,000369753
7	2,57E-05
7	-0,000536631
8	-0,000191649
8	-0,000106391
8	-0,00041428
8	-0,000159902
8	-9,91E-05
8	0,000120488
8	6,51E-06
8	0,000165961
8	0,000571517
8	0,000812585
8	0,00111187
9	0,00141586
9	0,00189542
9	0,00252838
9	0,00343163
9	0,00381185
9	0,00433015
9	0,00456873
9	0,00184731
9	-0,000242813
10	-0,00123906
10	-0,000572311
10	-0,000386928
10	-0,00102183
10	-0,00121171
10	-0,0015228
10	-0,00103011
10	-0,000885828
10	-0,000767361
10	-0,00060678
10	-0,000639777
11	-0,0005151
11	-0,000685413
11	-0,000416415
11	-0,000370738
11	-0,000462017
11	-0,000433411
11	-0,00028571
11	-0,000384705
11	-0,000275222
12	-0,000339278
12	-0,00026235
12	-0,000289415
12	-0,000247942
12	-0,00023191
12	-0,00026209
12	-0,000265542
12	-0,000197738
12	-0,000181751
12	-0,000217451
12	-0,000244274
13	-0,000288899
13	-0,000200224
13	-0,00022782
13	-0,000248443
13	-0,00026349
13	-0,000325422
13	-0,000296279
13	-0,000292509
13	-0,00030473
14	-0,000328062
14	-0,000370902
14	-0,000382464
14	-0,000452928
14	-0,000471915
14	-0,000512744
14	-0,000528517
14	-0,000593256
14	-0,000565585
14	-0,000562638
14	-0,000654927
15	-0,000735696
15	-0,000830443
15	-0,000957695
15	-0,00114881
15	-0,0013072
15	-0,00148608
15	-0,00170701
15	-0,00187148
