Frequenz - Plot 0	Amplitude - Plot 0
0	0
0	-0,000586135
0	0,000709594
0	-0,000909938
0	-0,000191735
0	-0,000363994
1	0,000195232
1	6,47E-05
1	0,000151682
1	-3,81E-06
1	0,000216922
1	1,49E-05
1	7,82E-05
1	0,000120456
1	0,000306209
2	0,000133151
2	0,000174131
2	0,000251148
2	0,000150908
2	0,000106477
2	0,000120584
2	0,000125383
2	0,000190076
2	0,000178785
2	0,000283602
2	0,000144733
3	7,59E-05
3	0,000423033
3	0,000837716
3	0,000578268
3	0,000327847
3	8,44E-05
3	3,35E-05
3	-5,08E-05
3	1,68E-05
4	-5,39E-05
4	-7,90E-05
4	-0,000190412
4	-1,91E-05
4	-5,82E-05
4	-0,000173743
4	-0,00020485
4	-8,80E-05
4	-0,00027222
4	-0,000135612
4	-8,88E-05
5	-0,000193111
5	-0,000155475
5	-0,000292845
5	-0,000163388
5	-0,000116773
5	-0,000158923
5	-0,000202363
5	-0,000138968
5	-0,000187176
6	-4,40E-06
6	-0,000178054
6	-0,0001654
6	-2,43E-05
6	-0,000161566
6	-6,33E-05
6	-0,000124724
6	-0,000176394
6	3,75E-05
6	2,81E-05
6	5,93E-05
7	-1,38E-05
7	0,000243221
7	0,000355891
7	0,00045579
7	0,000543363
7	0,000730763
7	0,000726544
7	0,000489679
7	0,000751598
8	0,000692532
8	0,00104557
8	0,000731922
8	0,0012403
8	0,00103399
8	0,00114576
8	0,00114407
8	0,00134135
8	0,00153251
8	0,00165976
8	0,00191112
9	0,00199096
9	0,00184403
9	0,00166983
9	0,00111007
9	0,000517139
9	-0,000912433
9	-0,00270362
9	-0,00578583
9	-0,00426771
10	-0,00297929
10	-0,000976222
10	-0,00176831
10	-0,0016954
10	-0,00101089
10	-0,000546139
10	-0,00048625
10	-0,000205365
10	-8,56E-05
10	3,62E-06
10	-0,000189554
11	-9,69E-05
11	2,18E-05
11	-2,25E-05
11	0,000231332
11	6,85E-05
11	0,000105252
11	4,45E-05
11	0,000151662
11	0,000144969
12	0,000227627
12	0,000187651
12	0,000191404
12	0,000180901
12	0,000143788
12	0,000278245
12	0,000229802
12	0,000258623
12	0,000235455
12	0,000237984
12	0,000226662
13	0,000234646
13	0,000227685
13	0,000282408
13	0,000286273
13	0,000227219
13	0,000240531
13	0,000233605
13	0,000250565
13	0,000281549
14	0,000256877
14	0,000279696
14	0,000227862
14	0,000181404
14	0,000259204
14	0,000373852
14	0,000308522
14	0,000313712
14	0,00039346
14	0,000286519
14	0,000350249
15	0,00052656
15	0,00047497
15	0,000503969
15	0,000589472
15	0,000630672
15	0,000766435
15	0,000970915
15	0,00111325
15	0,00122814
16	0,00164966
16	0,00214996
16	0,00308427
16	0,00439453
16	0,00632696
16	0,0103835
16	0,0123504
16	-0,000826151
16	0,000707256
16	0,00128345
16	0,00114933
17	0,00134421
17	0,00117234
17	0,00118718
17	0,00112305
17	0,000992543
17	0,00091196
17	0,000752489
17	0,000562614
17	0,000477471
18	0,000323411
18	0,000113255
18	-0,000105002
18	-0,000122411
18	-0,000162401
18	-9,29E-05
18	-0,00020529
18	-7,96E-05
18	-0,000124861
18	-0,000116313
18	-0,000121944
19	-6,85E-05
19	-0,000134558
19	-8,08E-05
19	-6,91E-05
19	-8,67E-06
19	-0,000192305
19	-2,69E-05
19	-0,000188374
19	-0,000133914
20	-0,000234893
20	-0,000303213
20	-0,000232651
20	-0,00055085
20	-0,000283002
20	-0,000569206
20	-0,000503743
20	-0,000447629
20	-0,000232888
20	-0,000627946
20	-0,000225217
21	-0,000550253
21	-0,000556695
21	-0,000620929
21	-0,000823917
21	-0,000898633
21	-0,00118842
21	-0,0014174
21	-0,00166357
21	-0,00216695
22	-0,00278478
22	-0,00390503
22	-0,00530703
22	-0,0069237
22	-0,00642099
22	-0,00354904
22	-0,00148482
22	-0,00110666
22	-0,00121099
22	-0,00145017
22	-0,00163158
23	-0,00186894
23	-0,00206885
23	-0,00229382
23	-0,00272285
23	-0,00302075
23	-0,00295707
23	-0,00252312
23	-0,00200007
23	-0,00126185
24	-0,000487958
24	0,000176172
24	0,000659533
24	0,000716078
24	0,000556205
24	0,000318067
24	0,000343584
24	0,000402258
24	0,000434761
24	0,000596704
24	0,000707474
25	0,000944075
25	0,00109953
25	0,00118272
25	0,00128708
25	0,00136156
25	0,00132517
25	0,00110229
25	0,000700786
25	0,000330154
26	9,85E-05
26	-3,20E-05
26	-1,76E-05
26	-4,77E-06
26	7,82E-05
26	0,000165354
26	0,000226796
26	0,000255821
26	0,000295655
26	0,000284211
26	0,000335045
27	0,000294582
27	0,000278232
27	0,000243988
27	0,000272085
27	0,000209148
27	0,000149778
27	4,27E-05
27	3,24E-05
27	-8,69E-05
28	-0,000162764
28	-0,000332277
28	-0,000452605
28	-0,000612364
28	-0,000832843
28	-0,000981545
28	-0,00109558
28	-0,0012242
28	-0,00137013
28	-0,00141858
28	-0,00148903
29	-0,0015691
29	-0,0015893
29	-0,00169373
29	-0,00169195
29	-0,00177361
29	-0,00184418
29	-0,00182241
29	-0,00194868
29	-0,00199531
30	-0,00203574
30	-0,0021094
30	-0,00214179
30	-0,00224316
30	-0,00230519
30	-0,00234713
30	-0,002409
30	-0,00248419
30	-0,00252895
30	-0,00263788
30	-0,00269923
31	-0,00278204
31	-0,00288722
31	-0,00298887
31	-0,00306852
31	-0,00315391
31	-0,00329402
31	-0,00331768
31	-0,00343617
31	-0,00354538
32	-0,00361312
32	-0,00373895
32	-0,00383834
32	-0,00392625
32	-0,00396489
32	-0,00401866
32	-0,00404656
32	-0,00419549
32	-0,00445102
32	-0,00460871
32	-0,00476788
33	-0,00487294
33	-0,00502035
33	-0,00518687
33	-0,00525533
33	-0,00542086
33	-0,00553267
33	-0,00566802
33	-0,00572763
33	-0,00583843
34	-0,00590059
34	-0,00598408
34	-0,00596178
34	-0,00600606
34	-0,00597234
34	-0,0059725
34	-0,00596255
34	-0,00588334
34	-0,00574782
34	-0,00556266
34	-0,00534964
35	-0,00517732
35	-0,0049129
35	-0,0047204
35	-0,00444731
35	-0,00414411
35	-0,00387814
35	-0,00353363
35	-0,00327844
35	-0,00299238
36	-0,00263733
36	-0,00235883
36	-0,00193832
36	-0,00149795
36	-0,00098787
36	-0,000632097
36	-0,000153755
36	0,000175133
36	0,000379939
36	0,000423577
36	0,000474638
37	0,000435074
37	0,000390416
37	0,000343496
37	0,000358454
37	0,000361904
37	0,000409179
37	0,000418991
37	0,000340431
37	0,000293511
38	0,000149972
38	1,10E-05
38	-0,000146413
38	-0,000254019
38	-0,000253288
38	6,55E-05
38	0,000270283
38	0,000304588
38	0,000155776
38	-0,000158624
38	-0,000242121
39	-0,000323628
39	-0,000180321
39	-0,000151622
39	-0,000132751
39	-4,83E-05
39	-0,000124367
39	-8,25E-05
39	0,000108697
39	8,69E-05
40	9,46E-05
40	5,75E-05
40	-9,08E-05
40	-0,000153045
40	-8,35E-05
40	-0,000179534
40	-0,000261873
40	-0,000209968
40	-0,000323317
40	-0,000419151
40	-0,00021952
41	-0,000109648
41	-0,000216722
41	-3,81E-05
41	9,29E-05
41	3,12E-05
41	2,52E-05
41	-3,27E-05
41	9,96E-05
41	9,13E-05
42	-7,78E-06
42	-0,000100089
42	-4,64E-05
42	-3,04E-05
42	-7,19E-05
42	-0,000136267
42	-8,77E-05
42	-0,000153573
42	-0,000127615
42	-0,00022969
42	-0,000225679
43	-0,000195493
43	-0,000195908
43	-0,000222196
43	-0,000209914
43	-0,000235832
43	-0,000225611
43	-0,000269634
43	-0,000232703
43	-0,000244236
44	-0,000238851
44	-0,000268263
44	-0,000267071
44	-0,00025376
44	-0,000237906
44	-0,000226795
44	-0,000242652
44	-0,000182162
44	-0,00019965
44	-0,000148821
44	-0,000130068
45	-0,000125978
45	-0,000117288
45	-0,0001546
45	-0,000129173
45	-0,0001335
45	-0,000101462
45	-5,40E-05
45	-5,32E-05
45	-2,23E-05
46	-4,78E-06
46	3,72E-05
46	1,56E-05
46	1,67E-05
46	1,94E-05
46	5,47E-05
46	5,88E-05
46	3,35E-05
46	3,86E-05
46	1,91E-05
46	5,17E-05
47	1,59E-05
47	5,17E-05
47	2,02E-05
47	-2,71E-05
47	5,57E-06
47	-3,60E-06
47	-5,96E-06
47	1,53E-05
47	5,84E-05
48	-1,09E-05
48	-8,35E-06
48	-3,78E-06
48	-2,42E-05
48	-3,25E-05
48	5,12E-06
48	2,08E-05
48	1,95E-06
48	2,17E-05
48	1,06E-05
48	-2,50E-06
49	2,68E-06
49	1,43E-05
49	1,24E-05
49	-2,29E-06
49	-1,15E-05
49	-3,99E-06
49	-2,00E-05
49	1,85E-05
49	-4,32E-06
50	6,55E-06
50	2,01E-05
50	5,80E-05
50	5,42E-05
50	5,97E-06
50	5,79E-05
