6.09550714e-01, 1.30059451e-01, 0.00000000e+00, 7.25434244e-01, 3.13743507e-03
6.09391987e-01, 1.30117223e-01, 0.00000000e+00, 7.27016747e-01, 3.11799091e-03
6.09460175e-01, 1.30304471e-01, 0.00000000e+00, 7.27030993e-01, 0.00000000e+00
6.09618902e-01, 1.30246699e-01, 0.00000000e+00, 7.25448608e-01, 0.00000000e+00
6.09480560e-01, 1.29866704e-01, 0.00000000e+00, 7.25393593e-01, 6.03857543e-03
6.09321833e-01, 1.29924476e-01, 0.00000000e+00, 7.26976454e-01, 6.00277446e-03
6.09707177e-01, 1.30002499e-01, 0.00000000e+00, 7.23858178e-01, 3.15663218e-03
6.09775364e-01, 1.30189762e-01, 0.00000000e+00, 7.23872602e-01, 0.00000000e+00
6.09637022e-01, 1.29809752e-01, 0.00000000e+00, 7.23817110e-01, 6.07395591e-03
6.09861434e-01, 1.29946366e-01, 0.00000000e+00, 7.22289085e-01, 3.17557319e-03
6.09929562e-01, 1.30133614e-01, 0.00000000e+00, 7.22303569e-01, 0.00000000e+00
6.09791279e-01, 1.29753619e-01, 0.00000000e+00, 7.22247660e-01, 6.10890053e-03
6.10013485e-01, 1.29891023e-01, 0.00000000e+00, 7.20727324e-01, 3.19425017e-03
6.10081613e-01, 1.30078286e-01, 0.00000000e+00, 7.20741987e-01, 0.00000000e+00
6.09943330e-01, 1.29698277e-01, 0.00000000e+00, 7.20685601e-01, 6.14339346e-03
6.10163331e-01, 1.29836470e-01, 0.00000000e+00, 7.19173551e-01, 3.21265566e-03
6.10231459e-01, 1.30023733e-01, 0.00000000e+00, 7.19188213e-01, 0.00000000e+00
6.10093176e-01, 1.29643723e-01, 0.00000000e+00, 7.19131589e-01, 6.17742212e-03
6.10311091e-01, 1.29782706e-01, 0.00000000e+00, 7.17628121e-01, 3.23078223e-03
6.10379219e-01, 1.29969969e-01, 0.00000000e+00, 7.17642903e-01, 0.00000000e+00
6.10020995e-01, 1.29445329e-01, 0.00000000e+00, 7.19085336e-01, 8.91127530e-03
6.09871089e-01, 1.29499882e-01, 0.00000000e+00, 7.20639944e-01, 8.86443909e-03
6.10240936e-01, 1.29589960e-01, 0.00000000e+00, 7.17585862e-01, 6.21097302e-03
6.10456705e-01, 1.29729703e-01, 0.00000000e+00, 7.16091514e-01, 3.24862381e-03
6.10524833e-01, 1.29916966e-01, 0.00000000e+00, 7.16106415e-01, 0.00000000e+00
6.09946668e-01, 1.29241124e-01, 0.00000000e+00, 7.19051123e-01, 1.14252204e-02
6.09796762e-01, 1.29295677e-01, 0.00000000e+00, 7.20606625e-01, 1.13683976e-02
6.10168695e-01, 1.29391566e-01, 0.00000000e+00, 7.17539072e-01, 8.95750336e-03
6.10386550e-01, 1.29536957e-01, 0.00000000e+00, 7.16049016e-01, 6.24403497e-03
6.10600233e-01, 1.29677445e-01, 0.00000000e+00, 7.14564323e-01, 3.26617435e-03
6.10668421e-01, 1.29864708e-01, 0.00000000e+00, 7.14579225e-01, 0.00000000e+00
6.09870136e-01, 1.29030943e-01, 0.00000000e+00, 7.19026983e-01, 1.37408255e-02
6.09720290e-01, 1.29085481e-01, 0.00000000e+00, 7.20583856e-01, 1.36766778e-02
6.10094368e-01, 1.29187360e-01, 0.00000000e+00, 7.17504025e-01, 1.14813652e-02
6.10314310e-01, 1.29338562e-01, 0.00000000e+00, 7.16001749e-01, 9.00311023e-03
6.10530078e-01, 1.29484698e-01, 0.00000000e+00, 7.14521408e-01, 6.27659587e-03
6.10741735e-01, 1.29625946e-01, 0.00000000e+00, 7.13046670e-01, 3.28342849e-03
6.10809922e-01, 1.29813209e-01, 0.00000000e+00, 7.13061631e-01, 0.00000000e+00
6.10017896e-01, 1.28977165e-01, 0.00000000e+00, 7.17478395e-01, 1.38042653e-02
