Club;Club Speed (m/s);start Ang. (Deg);Ball Speed (m/s);Spin Rate (Rpm);Carry (m);Side (m);max. Hight (m)
9 Iron;37,1;28,6;43,7;2995;130,6;-11,2;29,2
9 Iron;36,5;24,9;45;3484;133,6;-16,3;26,4
9 Iron;35,8;31;42,4;3278;123,9;5,9;27,8
9 Iron;36,1;28,4;43,4;3233;128,1;-2,7;28,8
7 Iron;36,6;18,3;46,3;4683;132,2;7,6;24,4
7 Iron;36,6;11;40,3;3175;110,4;-6,4;12,5
7 Iron;36,5;19,2;46,3;6549;120,2;7,9;14,4
7 Iron;36,6;17,8;48,6;6230;136;1,9;20
