Time - Acceleration	Amplitude - Acceleration
0	-0,000926946
0,000605	-0,00096598
0,001211	-0,00097799
0,001816	-0,000869898
0,002422	-0,000644704
0,003027	-0,000764807
0,003633	-0,000818854
0,004238	-0,00103504
0,004844	-0,000875903
0,005449	-0,000836869
0,006055	-0,000923944
0,00666	-0,00100802
0,007266	-0,000890916
0,007871	-0,000887913
0,008477	-0,00103804
0,009082	-0,000932952
0,009687	-0,000917939
0,010293	-0,000857887
0,010898	-0,000797836
0,011504	-0,00086089
0,012109	-0,00109209
0,012715	-0,000797836
0,01332	-0,000689743
0,013926	-0,000833867
0,014531	-0,000812849
0,015137	-0,000863892
0,015742	-0,00107107
0,016348	-0,00100201
0,016953	-0,000737784
0,017559	-0,000902926
0,018164	-0,000794833
0,01877	-0,000986998
0,019375	-0,00100802
0,01998	-0,000914936
0,020586	-0,00088491
0,021191	-0,000950967
0,021797	-0,000839872
0,022402	-0,00113112
0,023008	-0,000902926
0,023613	-0,000983995
0,024219	-0,000818854
0,024824	-0,000677733
0,02543	-0,000668725
0,026035	-0,000893918
0,026641	-0,000917939
0,027246	-0,00103204
0,027852	-0,00106506
0,028457	-0,000806843
0,029062	-0,00115214
0,029668	-0,000815851
0,030273	-0,000875903
0,030879	-0,000776818
0,031484	-0,000728776
0,03209	-0,00059366
0,032695	-0,000746792
0,033301	-0,000839872
0,033906	-0,000818854
0,034512	-0,000842874
0,035117	-0,000830864
0,035723	-0,000701753
0,036328	-0,000803841
0,036934	-0,00095397
0,037539	-0,000890916
0,038145	-0,000996006
0,03875	-0,000752797
0,039355	-0,000722771
0,039961	-0,000917939
0,040566	-0,000839872
0,041172	-0,000980993
0,041777	-0,00105005
0,042383	-0,000857887
0,042988	-0,000866895
0,043594	-0,000845877
0,044199	-0,000704756
0,044805	-0,000938957
0,04541	-0,000782823
0,046016	-0,000647707
0,046621	-0,000851882
0,047227	-0,000996006
0,047832	-0,00096598
0,048438	-0,000887913
0,049043	-0,000887913
0,049648	-0,000887913
0,050254	-0,000800838
0,050859	-0,000890916
0,051465	-0,000890916
0,05207	-0,000902926
0,052676	-0,00101402
0,053281	-0,000980993
0,053887	-0,000950967
0,054492	-0,000923944
0,055098	-0,000968983
0,055703	-0,000999008
0,056309	-0,00115214
0,056914	-0,00097799
0,05752	-0,00102303
0,058125	-0,000866895
0,05873	-0,000785825
0,059336	-0,000974988
0,059941	-0,000920941
0,060547	-0,000947964
0,061152	-0,00100501
0,061758	-0,00095397
