Time - Acceleration	Amplitude - Acceleration
0	-0,000740787
0,000605	-0,000665722
0,001211	-0,000704756
0,001816	-0,000650709
0,002422	-0,000770812
0,003027	-0,00067473
0,003633	-0,000689743
0,004238	-0,000650709
0,004844	-0,000722771
0,005449	-0,000842874
0,006055	-0,000929949
0,00666	-0,000725774
0,007266	-0,00067473
0,007871	-0,000959975
0,008477	-0,00108608
0,009082	-0,000878905
0,009687	-0,000875903
0,010293	-0,000776818
0,010898	-0,000923944
0,011504	-0,000791831
0,012109	-0,0007558
0,012715	-0,000776818
0,01332	-0,0008729
0,013926	-0,000812849
0,014531	-0,00112812
0,015137	-0,00107407
0,015742	-0,00102603
0,016348	-0,00113412
0,016953	-0,000899923
0,017559	-0,000722771
0,018164	-0,00105005
0,01877	-0,000947964
0,019375	-0,000908931
0,01998	-0,00119117
0,020586	-0,00105305
0,021191	-0,00114613
0,021797	-0,00119117
0,022402	-0,000956972
0,023008	-0,000818854
0,023613	-0,00120619
0,024219	-0,00108008
0,024824	-0,00113112
0,02543	-0,00104705
0,026035	-0,00119117
0,026641	-0,00109509
0,027246	-0,00102903
0,027852	-0,00117316
0,028457	-0,00106506
0,029062	-0,00113412
0,029668	-0,00127825
0,030273	-0,00106206
0,030879	-0,000990001
0,031484	-0,00141036
0,03209	-0,00126023
0,032695	-0,00126324
0,033301	-0,00119718
0,033906	-0,00109509
0,034512	-0,00112812
0,035117	-0,00105005
0,035723	-0,00140736
0,036328	-0,00118517
0,036934	-0,00118517
0,037539	-0,00137733
0,038145	-0,00130227
0,03875	-0,00119718
0,039355	-0,00116415
0,039961	-0,00108308
0,040566	-0,00121519
0,041172	-0,00104705
0,041777	-0,00119418
0,042383	-0,00117316
0,042988	-0,00147642
0,043594	-0,00120018
0,044199	-0,00139835
0,044805	-0,00129326
0,04541	-0,00124822
0,046016	-0,00124522
0,046621	-0,00113713
0,047227	-0,00129026
0,047832	-0,00118217
0,048438	-0,0013413
0,049043	-0,0013413
0,049648	-0,00143138
0,050254	-0,00124522
0,050859	-0,00138334
0,051465	-0,00124222
0,05207	-0,00135631
0,052676	-0,00116415
0,053281	-0,00130227
0,053887	-0,00121219
0,054492	-0,00117916
0,055098	-0,00136232
0,055703	-0,00131728
0,056309	-0,00138934
0,056914	-0,00142537
0,05752	-0,00138934
0,058125	-0,0011041
0,05873	-0,0014554
0,059336	-0,00154848
0,059941	-0,00143438
0,060547	-0,00126624
0,061152	-0,0013443
0,061758	-0,00148242
0,062363	-0,00129026
0,062969	-0,00142237
0,063574	-0,00142537
0,06418	-0,00146441
0,064785	-0,00136232
0,065391	-0,00152146
0,065996	-0,00153347
0,066602	-0,00152746
0,067207	-0,00147342
0,067812	-0,00152446
0,068418	-0,00171062
0,069023	-0,00170762
0,069629	-0,00116115
0,070234	-0,00153046
0,07084	-0,00150945
0,071445	-0,0013443
0,072051	-0,00138934
0,072656	-0,00127825
0,073262	-0,00136833
0,073867	-0,0014524
0,074473	-0,00158751
0,075078	-0,00159352
0,075684	-0,00147942
0,076289	-0,00131128
0,076895	-0,00163555
0,0775	-0,0016896
0,078105	-0,0015665
0,078711	-0,00161153
0,079316	-0,00151845
0,079922	-0,00139235
0,080527	-0,00141937
0,081133	-0,00144639
0,081738	-0,00147342
0,082344	-0,00161754
0,082949	-0,00147041
0,083555	-0,00149744
0,08416	-0,00157851
0,084766	-0,00155448
0,085371	-0,00151545
0,085977	-0,00152746
0,086582	-0,00132329
0,087188	-0,00148543
0,087793	-0,00136232
0,088398	-0,00143438
0,089004	-0,00146441
0,089609	-0,00144939
0,090215	-0,00142838
0,09082	-0,00159052
0,091426	-0,00118517
0,092031	-0,0013443
0,092637	-0,00123021
0,093242	-0,00135932
0,093848	-0,00129326
