Time - Force	Amplitude - Force
0,162266	-0,013457
0,162871	-0,0357974
0,163477	-0,0323158
0,164082	-0,0204202
0,164687	-0,0294144
0,165293	-0,0410199
0,165898	-0,0244821
0,166504	-0,0244821
0,167109	-0,0299947
0,167715	-0,0363777
0,16832	-0,0282539
0,168926	-0,0236117
0,169531	-0,0291243
0,170137	-0,0122964
0,170742	-0,0256427
0,171348	-0,0314454
0,171953	-0,0360876
0,172559	-0,0227413
0,173164	-0,0337665
0,17377	-0,0111359
0,174375	-0,0311553
0,17498	-0,0311553
0,175586	-0,0253525
0,176191	-0,0337665
0,176797	-0,0355073
0,177402	-0,0320257
0,178008	-0,0372481
0,178613	-0,00910495
0,179219	-0,00852468
0,179824	-0,00620359
0,18043	-0,0276736
0,181035	-0,0157781
0,181641	-0,0299947
0,182246	-0,0143274
0,182852	-0,0128767
0,183457	-0,0294144
0,184062	-0,0212906
0,184668	-0,0416001
0,185273	-0,0253525
0,185879	-0,0146175
0,186484	-0,0253525
0,18709	-0,0337665
0,187695	-0,0494338
0,188301	-0,0140373
0,188906	-0,0215808
0,189512	-0,0421804
0,190117	-0,0320257
0,190723	-0,0320257
0,191328	-0,0523352
0,191934	-0,0450818
0,192539	-0,0450818
0,193145	-0,0447916
0,19375	-0,0215808
0,194355	-0,0395692
0,194961	-0,0360876
0,195566	-0,0427607
0,196172	-0,0268032
0,196777	-0,0346369
0,197383	-0,0224512
0,197988	-0,0189696
0,198594	-0,0500141
0,199199	-0,0360876
0,199805	-0,0384087
0,20041	-0,0372481
0,201016	-0,0569773
0,201621	-0,0331862
0,202227	-0,0424706
0,202832	-0,0331862
0,203437	-0,0700334
0,204043	-0,00968522
0,204648	-0,0357974
0,205254	-0,0363777
0,205859	-0,0500141
0,206465	-0,0459522
0,20707	-0,0343468
0,207676	-0,0491437
0,208281	-0,04131
0,208887	-0,0471127
0,209492	-0,0445015
0,210098	-0,0352172
0,210703	-0,0328961
0,211309	-0,0430508
0,211914	-0,0392791
0,21252	-0,0395692
0,213125	-0,0474029
0,21373	-0,0430508
0,214336	-0,0563971
0,214941	-0,0639406
0,215547	-0,0642307
0,216152	-0,0694532
0,216758	-0,0491437
0,217363	-0,0395692
0,217969	-0,0627801
0,218574	-0,0378284
0,21918	-0,0503042
0,219785	-0,0517549
0,220391	-0,0340566
0,220996	-0,0764164
0,221602	-0,0479831
0,222207	-0,0549464
0,222812	-0,0624899
0,223418	-0,0410199
0,224023	-0,0468226
