Frequenz - Plot 0	Amplitude - Plot 0
0	0,0296089
0	-0,00263833
0	-0,000569159
0	-0,000496709
0	-0,00024934
0	-0,000158624
1	-0,000300426
1	-4,60E-05
1	-0,000858205
1	0,000341906
1	0,000856538
1	0,000151664
1	-0,000309441
1	-0,000354503
1	-9,99E-05
2	-0,000194085
2	-0,000294497
2	-0,000441991
2	-0,00057107
2	-0,000554993
2	-0,00085071
2	-0,000666428
2	-0,000733197
2	-0,000685598
2	-0,000630888
2	-0,000718924
3	-0,000731202
3	-0,00101126
3	-0,00164281
3	-0,00150929
3	-0,0042006
3	-0,00739341
3	0,0137475
3	0,00424749
3	0,00234357
4	0,00137634
4	0,000904524
4	0,000910867
4	0,000520543
4	0,000648814
4	0,000790554
4	0,000899649
4	0,000882953
4	0,000828633
4	0,000745277
4	0,000730792
5	0,000585825
5	0,000300205
5	0,000470377
5	0,000440097
5	0,000359772
5	0,000417777
5	0,000341833
5	0,000508947
5	0,000634052
6	0,000396795
6	0,000592282
6	0,000282117
6	0,000264593
6	0,000354952
6	0,000382187
6	0,000371293
6	0,000456292
6	0,000431001
6	0,000399026
6	0,000368554
7	0,000247139
7	0,000364909
7	0,00019217
7	0,0004767
7	6,93E-05
7	9,30E-05
7	-0,000314983
7	2,74E-05
7	0,000196059
8	5,26E-05
8	0,00039181
8	0,00020433
8	0,000238982
8	0,000559501
8	0,000293662
8	0,000403525
8	0,000505526
8	0,000616718
8	0,000485532
8	0,000960121
9	0,00112744
9	0,00164933
9	0,00213281
9	0,00263302
9	0,00329494
9	0,00458452
9	0,00494865
9	-0,00411521
9	-0,00712507
10	-0,00486017
10	-0,00432768
10	-0,00472959
10	-0,00282284
10	-0,000190797
10	0,00169532
10	0,00433057
10	0,0052976
10	0,00873655
10	0,00778777
10	0,0061297
11	0,00139492
11	0,00428244
11	0,00245001
11	0,00115444
11	0,00253126
11	0,00239696
11	0,00226615
11	0,00168617
11	0,00243896
12	0,00201212
12	0,00212383
12	0,00196498
12	0,00207849
12	0,00214839
12	0,00205047
12	0,00219312
12	0,00236448
12	0,00239282
12	0,00257654
12	0,0024062
13	0,0021087
13	0,00214645
13	0,00211508
13	0,00244915
13	0,00218987
13	0,00210027
13	0,0022259
13	0,00227913
13	0,00212538
14	0,00232463
14	0,00225725
14	0,00244836
14	0,00230079
14	0,00233874
14	0,00246517
14	0,00250646
14	0,00261323
14	0,00265846
14	0,00271963
14	0,00280993
15	0,00288002
15	0,00308049
15	0,00321136
15	0,00347903
15	0,00376732
15	0,00410651
15	0,00461694
15	0,00497518
15	0,00537137
16	0,00550525
16	0,00504299
16	0,0046152
16	0,00423182
16	0,00397215
16	0,00240878
16	-0,0110753
16	-0,00734698
16	-0,00511081
